"Date","Bill","Motion","Location","Type","Bill Title"
"2025-04-11","SB 201","3rd Reading Concurred","House","Absent","Revise contaminated property cleanup laws for dangerous drugs"
"2025-04-11","SB 213","3rd Reading Concurred","House","Absent","Revise the state building code to allow single stairwells in certain buildings"
"2025-04-11","SB 214","3rd Reading Concurred","House","Absent","Revise zoning laws to clarify decisions regarding prior nonconforming use of pro..."
"2025-04-11","SB 217","3rd Reading Concurred","House","Absent","Establish work time credit for probationers and parolees"
"2025-04-11","SB 218","3rd Reading Concurred","House","Absent","Provide for private right of action for injuries caused by certain medical inter..."
"2025-04-11","SB 223","3rd Reading Concurred","House","Absent","Allow interest earned on workforce housing appropriations to be retained"
"2025-04-11","SB 227","3rd Reading Concurred","House","Absent","Revise laws related to board seals and responsibilities"
"2025-04-11","SB 239","3rd Reading Concurred","House","Absent","Requiring judges to invite amicus briefing and allow intervention in certain civ..."
"2025-04-11","SB 243","3rd Reading Concurred","House","Absent","Amend zoning regulations to allow taller buildings"
"2025-04-11","SB 245","3rd Reading Concurred","House","Absent","Provide for human trafficking awareness training for school bus drivers"
"2025-04-11","SB 262","3rd Reading Concurred","House","Absent","Exempt subdivision, water/sewer plans from environmental review"
"2025-04-11","SB 264","3rd Reading Concurred","House","Absent","Eliminate a defense to the vehicle noise statute"
"2025-04-11","SB 265","3rd Reading Concurred","House","Absent","Revise cryptocurrency laws to create Financial Freedom and Innovation Act"
"2025-04-11","SB 271","3rd Reading Concurred","House","Absent","Remove prohibition on certain compensation for collegiate student-athlete's name..."
"2025-04-11","SB 276","3rd Reading Concurred","House","Absent","Generally revise voter identification laws"
"2025-04-11","SB 278","3rd Reading Concurred","House","Absent","Revise education laws to support advanced opportunities"
"2025-04-11","SB 286","3rd Reading Concurred","House","Absent","Clarify value of caselaw interpreting a statute after subsequent legislative act..."
"2025-04-11","SB 297","3rd Reading Concurred","House","Absent","Generally revise privacy laws"
"2025-04-11","SB 30","3rd Reading Concurred","House","Absent","Revise laws related to Judiciary and rule of necessity"
"2025-04-11","SB 311","3rd Reading Concurred","House","Absent","Enhance legislative understanding of state-tribal relations"
"2025-04-11","SB 316","3rd Reading Concurred","House","Absent","Revising disability retirement provisions for MPORS and FURS"
"2025-04-11","SB 317","3rd Reading Concurred","House","Absent","Prohibit health insurers from performing prior authorization on psychiatric drug..."
"2025-04-11","SB 319","2nd Reading Concurred","House","Absent","Generally revise health care laws related to doulas"
"2025-04-11","SB 319","3rd Reading Concurred","House","Absent","Generally revise health care laws related to doulas"
"2025-04-11","SB 335","3rd Reading Concurred","House","Absent","Generally revise laws related to dental insurance"
"2025-04-11","SB 342","3rd Reading Concurred","House","Absent","Provide that chief justice appoints the court administrator"
"2025-04-11","SB 344","3rd Reading Concurred","House","Absent","Revise process for governor's veto receipt and delivery to the legislature"
"2025-04-11","SB 348","3rd Reading Concurred","House","Absent","Revise laws on sexual assault"
"2025-04-11","SB 350","3rd Reading Concurred","House","Absent","Revise participation in extracurricular activities"
"2025-04-11","SB 355","3rd Reading Concurred","House","Absent","Generally revise energy laws"
"2025-04-11","SB 360","3rd Reading Concurred","House","Absent","Revise election laws related to definitions"
"2025-04-11","SB 362","3rd Reading Concurred","House","Absent","Revise firefighter qualifications"
"2025-04-11","SB 364","3rd Reading Concurred","House","Absent","Establish kill switch laws"
"2025-04-11","SB 373","3rd Reading Concurred","House","Absent","Revise laws related to enforcement of liens"
"2025-04-11","SB 375","3rd Reading Concurred","House","Absent","Prohibit sale of edible products that contain hemp"
"2025-04-11","SB 38","3rd Reading Concurred","House","Absent","Generally revise laws relating to attorney fees and prevailing parties for veto ..."
"2025-04-11","SB 380","3rd Reading Concurred","House","Absent","Generally revise laws related to motor vehicle laws"
"2025-04-11","SB 39","3rd Reading Concurred","House","Absent","Generally revise attorney fee awards"
"2025-04-11","SB 390","2nd Reading Concurred","House","Absent","Revise definitions in Clean Indoor Air Act"
"2025-04-11","SB 390","3rd Reading Concurred","House","Absent","Revise definitions in Clean Indoor Air Act"
"2025-04-11","SB 392","3rd Reading Concurred","House","Absent","Establish Laverne Parrish memorial highway"
"2025-04-11","SB 398","3rd Reading Concurred","House","Absent","Revise laws related to collections-related actions in municipal court"
"2025-04-11","SB 40","3rd Reading Concurred","House","Absent","Revise supreme court public records laws by opening deliberations and files to t..."
"2025-04-11","SB 402","3rd Reading Concurred","House","Absent","Provide for case determinations of investigations of reported child abuse or neg..."
"2025-04-11","SB 41","3rd Reading Concurred","House","Absent","Requiring substitution of district court judges by random selection"
"2025-04-11","SB 410","3rd Reading Concurred","House","Absent","Provide for Montana genomic security act"
"2025-04-11","SB 412","2nd Reading Concurred","House","Absent","Provide for fee waivers of government documents to former foster children"
"2025-04-11","SB 412","3rd Reading Concurred","House","Absent","Provide for fee waivers of government documents to former foster children"
"2025-04-11","SB 414","3rd Reading Concurred","House","Absent","Generally revise laws relating to garbage feeding"
"2025-04-11","SB 422","2nd Reading Concurred","House","Absent","Generally revise laws relating to insurance coverage relating to cancer"
"2025-04-11","SB 422","3rd Reading Concurred","House","Absent","Generally revise laws relating to insurance coverage relating to cancer"
"2025-04-11","SB 428","3rd Reading Concurred","House","Absent","Generally revise county speed limits"
"2025-04-11","SB 433","3rd Reading Concurred","House","Absent","Revise right-of-way laws for roundabouts"
